match_id,date,team_1,team_2,venue,winner,competition,is_world_cup
439146,2010-05-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",South Africa,South Africa in West Indies T20I Series,False
439497,2010-02-09,Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,ICC World Twenty20 Qualifier,False
439499,2010-02-10,Canada,Kenya,Dubai International Cricket Stadium,Kenya,ICC World Twenty20 Qualifier,False
439505,2010-02-11,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,ICC World Twenty20 Qualifier,False
439510,2010-02-13,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,ICC World Twenty20 Qualifier,False
440945,2010-02-19,England,Pakistan,Dubai International Cricket Stadium,England,Pakistan v England T20I Series,False
440946,2010-02-20,England,Pakistan,Dubai International Cricket Stadium,Pakistan,Pakistan v England T20I Series,False
446956,2010-10-31,Australia,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,,False
446960,2011-01-12,Australia,England,Adelaide Oval,England,England in Australia T20I Series,False
446961,2011-01-14,Australia,England,Melbourne Cricket Ground,Australia,England in Australia T20I Series,False
447539,2010-05-20,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",South Africa,South Africa in West Indies T20I Series,False
452153,2010-06-12,Zimbabwe,India,Harare Sports Club,India,India in Zimbabwe T20I Series,False
452154,2010-06-13,Zimbabwe,India,Harare Sports Club,India,India in Zimbabwe T20I Series,False
456991,2010-05-22,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,New Zealand v Sri Lanka T20I Series,False
456992,2010-05-23,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,Sri Lanka,New Zealand v Sri Lanka T20I Series,False
461565,2010-10-27,Pakistan,South Africa,Sheikh Zayed Stadium,South Africa,Pakistan v South Africa T20I Series,False
463141,2010-10-08,South Africa,Zimbabwe,OUTsurance Oval,South Africa,Zimbabwe in South Africa T20I Series,False
463142,2010-10-10,South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,Zimbabwe in South Africa T20I Series,False
463149,2011-01-09,South Africa,India,Moses Mabhida Stadium,India,,False
473918,2010-12-26,New Zealand,Pakistan,Eden Park,New Zealand,Pakistan in New Zealand T20I Series,False
473919,2010-12-28,New Zealand,Pakistan,Seddon Park,New Zealand,Pakistan in New Zealand T20I Series,False
473920,2010-12-30,New Zealand,Pakistan,AMI Stadium,Pakistan,Pakistan in New Zealand T20I Series,False
474466,2011-06-25,England,Sri Lanka,County Ground,Sri Lanka,,False
474476,2011-08-31,England,India,Old Trafford,England,,False
478279,2010-10-26,Pakistan,South Africa,Sheikh Zayed Stadium,South Africa,Pakistan v South Africa T20I Series,False
489212,2011-04-21,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,,False
489220,2011-06-04,West Indies,India,"Queen's Park Oval, Port of Spain",India,,False
514023,2011-10-13,South Africa,Australia,Newlands,Australia,Australia in South Africa T20I Series,False
514024,2011-10-16,South Africa,Australia,New Wanderers Stadium,South Africa,Australia in South Africa T20I Series,False
516204,2011-08-06,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,Australia in Sri Lanka T20I Series,False
516205,2011-08-08,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,Australia in Sri Lanka T20I Series,False
518954,2012-02-01,Australia,India,Stadium Australia,Australia,India in Australia T20I Series,False
518955,2012-02-03,Australia,India,Melbourne Cricket Ground,India,India in Australia T20I Series,False
520595,2012-02-11,New Zealand,Zimbabwe,Eden Park,New Zealand,Zimbabwe in New Zealand T20I Series,False
